state,average enrollment ,,,,,,
Hawaii,186825,,,,,,https://www.governing.com/gov-data/education-data/school-district-totals-average-enrollment-statistics-for-states-metro-areas.html
Florida,46237,,,,,,
DC,44942,,,,,,
Maryland,36074,,,,,,
Nevada,27223,,,,,,
Utah,14949,,,,,,
North Carolina,12520,,,,,,
Virginia,9687,,,,,,
Georgia,9440,,,,,,
Louisiana,9342,,,,,,
South Carolina,8759,,,,,,
Tennessee,7387,,,,,,
California,6640,,,,,,
Delaware,6341,,,,,,
Alabama,6307,,,,,,
West Virginia,5250,,,,,,
Colorado,4857,,,,,,
Texas,4852,,,,,,
Arizona,4547,,,,,,
Kentucky,3984,,,,,,
Rhode Island,3940,,,,,,
Washington,3727,,,,,,
New Mexico,3668,,,,,,
Mississippi,3629,,,,,,
Indiana,3451,,,,,,
Massachusetts,3297,,,,,,
Pennsylvania,3200,,,,,,
Oregon,3121,,,,,,
Connecticut,3046,,,,,,
Ohio,2604,,,,,,
Michigan,2509,,,,,,
Alaska,2506,,,,,,
Minnesota,2459,,,,,,
Idaho,2431,,,,,,
Illinois,2388,,,,,,
New York,2380,,,,,,
New Jersey,2291,,,,,,
Wisconsin,2046,,,,,,
Arkansas,2027,,,,,,
Wyoming,1928,,,,,,
Kansas,1717,,,,,,
Missouri,1712,,,,,,
Iowa,1432,,,,,,
Oklahoma,1293,,,,,,
Nebraska,1235,,,,,,
Maine,980,,,,,,
South Dakota,869,,,,,,
North Dakota,587,,,,,,
Montana,354,,,,,,
,,,,,,,
